start time,value
0,49.302919099249365
1,50.28350680544432
2,49.00081433224751
3,50.55494163424125
4,50.33632441760138
5,48.15300784655623
6,49.25566202090592
7,50.469126912691245
8,50.87996632996634
9,49.83232497839242
10,49.224275062137444
11,51.35173611111114
12,50.534440842787674
13,49.58289806234209
14,49.05143581081087
15,49.586271186440676
16,49.51753926701571
17,49.44923208191123
18,49.95881326352527
19,51.774637062339856
20,50.320680851063806
21,49.95160729800168
22,49.85741989881953
23,49.776623376623355
