start time,value
0,49.82111486486494
1,50.469684385382074
2,49.375278969957044
3,50.515619694397294
4,50.36992287917738
5,51.30961538461545
6,49.21434671221181
7,50.61551867219916
8,49.18850574712643
9,48.67782685512366
10,51.01477272727273
11,48.700249584026544
12,50.184391080617466
13,49.27306425041179
14,50.85561357702349
15,50.32300962379706
16,49.048394863563445
17,50.1525541125541
18,50.57112387202634
19,50.90789707187229
20,48.924812656119805
21,50.754127659574536
22,48.178125000000016
23,50.302816901408505
