start time,value
0,48.94113597246118
1,50.07444061962132
2,50.01024305555558
3,50.33925066904553
4,48.79564124056995
5,49.15534382767195
6,48.5609715242881
7,49.438033072236664
8,48.45682565789474
9,49.558167675021544
10,50.33572030328563
11,52.05410668924642
12,49.77787162162162
13,50.84771959459464
14,50.63114754098361
15,50.09366666666673
16,49.61239460370991
17,49.80500000000003
18,50.744271685760935
19,51.27603574329805
20,47.33181434599162
21,49.9813531353135
22,50.54574376612208
23,50.32180896027049
