start time,value
0,48.624040066777866
1,49.396594684385384
2,48.30322291853184
3,49.5469081272085
4,49.44802021903962
5,49.309248554913346
6,49.3862407862407
7,50.97783783783782
8,48.621867115222905
9,50.9670221493027
10,50.76164154103852
11,49.039464882943115
12,49.472000000000044
13,49.03595505617976
14,50.305053191489314
15,50.54401408450704
16,49.77742193754993
17,49.1849785407726
18,50.69552238805965
19,49.9373665480428
20,51.96171749598706
21,50.154416666666684
22,49.48404344193814
23,47.67064364207216
