start time,value
0,50.15385906040266
1,49.8710526315789
2,49.88127147766323
3,50.64953031596926
4,49.98067885117498
5,49.22041166380783
6,48.946291768541236
7,51.5869114126097
8,50.87793468667259
9,50.20193115029384
10,49.00152027027022
11,49.25805604203152
12,49.69779231398199
13,50.13747899159659
14,49.58741197183104
15,51.42551194539247
16,49.54614754098371
17,50.19035532994929
18,48.82894736842108
19,49.26521008403358
20,50.325281385281286
21,49.41164106709782
22,50.09875621890548
23,49.60294882914132
