start time,value
0,49.667493356952995
1,49.46441102756892
2,49.773387096774265
3,47.95741507870753
4,49.029975020815996
5,49.193588676103225
6,49.55777027027019
7,50.56185737976792
8,49.05319327731092
9,50.99065495207672
10,50.00529461998287
11,50.68336148648645
12,50.14237288135593
13,49.93273615635178
14,48.097532894736815
15,50.24065544729845
16,49.69168053244593
17,48.66943972835313
18,50.11922442244221
19,50.238480801335584
20,51.05461604831753
21,50.730717863105106
22,49.15025906735756
23,49.9321608040201
