start time,value
0,50.23630077787382
1,50.2318965517242
2,49.95080440304828
3,49.561597938144274
4,50.538240270727606
5,49.58926458157223
6,50.19451438848912
7,50.33915343915341
8,50.055993150684955
9,51.16655172413802
10,50.772286184210536
11,49.79983193277314
12,50.062892561983425
13,50.102152317880766
14,50.30900974025968
15,49.65122985581
16,51.8918060200669
17,51.16857142857146
18,49.28464135021096
19,49.363272410792035
20,50.136660929432026
21,49.48608852755195
22,48.352512155591626
23,51.117138103161395
