start time,value
0,50.90136402387043
1,50.93837792642133
2,50.553112368633776
3,49.11397670549089
4,50.15993208828528
5,51.11700984780667
6,50.33579496090351
7,49.85584970111023
8,48.139611486486444
9,50.358706467661655
10,49.603879310344745
11,51.18598574821857
12,50.309472817133475
13,50.88290025146687
14,49.83058053965656
15,49.05640350877193
16,49.66416526138284
17,50.99730700179537
18,49.42466329966332
19,50.82327302631579
20,50.060305958132076
21,49.61045751633989
22,49.768579234972606
23,51.35041322314046
