start time,value
0,50.060050251256314
1,49.948989898989886
2,48.59676573426575
3,50.18483844241922
4,50.50127551020401
5,51.21075455333916
6,50.6856158484066
7,50.29086993970726
8,50.6135112593828
9,48.8614847161572
10,50.662251655629184
11,49.854612850082454
12,49.8440565253533
13,49.18596345514947
14,49.457981018119014
15,50.76231028667791
16,49.47183098591554
17,50.205062240663956
18,49.0716468590831
19,48.25928143712577
20,49.44555189456341
21,49.002899751449874
22,50.00412017167376
23,51.006831275720224
