start time,value
0,49.09890848026864
1,49.57242833052276
2,50.42935153583616
3,50.414179719703164
4,48.907425343018545
5,49.82661361626884
6,50.275213675213635
7,50.82184801381692
8,49.06555740432613
9,48.07471566054239
10,49.84891041162236
11,49.98533674339308
12,51.419768403639345
13,50.41058726220017
14,50.672593235039066
15,50.09496466431096
16,49.62830342577488
17,50.18826530612244
18,48.69304495335026
19,49.25914260717415
20,48.892703150912155
21,51.721851542952514
22,49.46702838063441
23,49.66592844974445
