start time,value
0,49.083070175438635
1,49.55347107438024
2,51.0340153452686
3,50.21086048454467
4,49.82449693788274
5,49.16613333333325
6,50.56137699412258
7,50.50872142252329
8,50.59139240506335
9,49.483246977547466
10,50.22698548249354
11,50.60235389610393
12,50.21496844003599
13,50.46882255389722
14,50.7477310924369
15,50.01360136869121
16,50.220081632653006
17,49.50133555926545
18,49.971018276762386
19,49.76298755186726
20,50.356228668941924
21,49.23744752308987
22,50.30152155536767
23,49.82066895368786
