start time,value
0,51.99873631002535
1,48.88351063829786
2,49.66329113924056
3,51.58462852263028
4,50.43890728476817
5,49.70659150043367
6,50.35895522388069
7,49.10131904369334
8,48.982107023411366
9,49.96267206477729
10,49.44695723684214
11,48.77104149026247
12,48.57651888341548
13,51.67424612876929
14,50.501952461799775
15,51.1369150779896
16,50.17005887300243
17,50.228146853146825
18,50.44139966273182
19,50.84066213921899
20,49.798347826086996
21,51.72981878088962
22,49.19779346866726
23,50.24088159031979
