start time,value
0,50.56289409862569
1,49.9398034398034
2,49.4572127139364
3,50.18157267672752
4,48.61149619611155
5,50.712243221035315
6,50.73916598528206
7,49.316436251920116
8,49.94882400648825
9,49.063381478334755
10,49.08564146134245
11,48.25966386554615
12,50.05874587458747
13,49.88291630716132
14,49.40620017714797
15,49.18583545377446
16,49.87046714172608
17,52.196010638297864
18,49.349594155844116
19,49.818575063613245
20,49.80594732370432
21,50.50521367521367
22,50.056960950763965
23,49.49576271186437
