start time,value
0,51.16538461538455
1,49.589137931034564
2,49.93775933609956
3,51.51222515391383
4,48.52196180555549
5,48.38666077738516
6,50.19842584921299
7,48.81205128205132
8,50.25497335701598
9,50.589205020920524
10,50.48660633484162
11,50.730971337579625
12,50.50043215211752
13,47.94130626654897
14,49.31933453237414
15,50.49957947855338
16,50.254933110367865
17,49.97325769854121
18,49.5025195482189
19,51.165490533562796
20,49.669833333333386
21,49.705550811272325
22,49.9500869565217
23,48.70482420278008
