start time,value
0,50.459136212624564
1,49.35355371900832
2,49.72097165991901
3,49.530114135206325
4,49.87165820642978
5,49.70818030050082
6,50.32520458265144
7,50.123750000000015
8,49.773865546218516
9,50.12221304706854
10,48.52144053601333
11,48.88603868797308
12,48.970683760683755
13,49.7184339314846
14,50.45477815699661
15,50.28520452567447
16,50.0946963216424
17,51.332535094962836
18,50.0789427312776
19,49.08864734299513
20,49.14600326264275
21,50.91694772344014
22,48.768812709030115
23,50.85147299508998
