start time,value
0,47.811607910576114
1,49.271904355252005
2,50.84957482993193
3,50.70189530685917
4,51.382014388489154
5,50.10445378151264
6,49.91442953020131
7,50.2375516956162
8,49.56471095772216
9,50.360331299040986
10,49.71749555950267
11,49.68935108153083
12,48.95433715220951
13,48.426386554621836
14,49.66291448516575
15,48.74701064701068
16,48.86312292358807
17,50.83816131830012
18,50.654000000000025
19,49.42116357504222
20,50.55859375000005
21,49.81519731318213
22,49.17255734919277
23,49.74717775905643
