start time,value
0,48.59789385004211
1,50.52548701298697
2,49.61070518266779
3,49.9447611064544
4,50.34492023509654
5,50.29607023411375
6,50.05403295750218
7,51.453758169934645
8,49.76097152428811
9,51.22918918918922
10,51.38553511705684
11,49.78952122854565
12,50.61371900826453
13,49.234632034632
14,50.53239901071726
15,49.02569737954345
16,49.4646808510639
17,51.05004029008864
18,50.75429583702394
19,49.55653679653686
20,51.423172905525796
21,50.25908699397066
22,50.48883161512031
23,49.242545771578044
