start time,value
0,51.7806265457543
1,50.43877028181038
2,50.44072164948453
3,50.55224006762467
4,49.777118644067826
5,48.62754749568226
6,49.89601040763223
7,50.578446115288195
8,50.41085665818484
9,49.772766695576735
10,51.121991701244816
11,50.186708860759474
12,50.66874999999999
13,49.92683333333338
14,48.80666666666669
15,51.40903716216215
16,49.09317406143342
17,50.279344262295105
18,51.07793624161077
19,51.79853777416737
20,51.71731092436975
21,50.744531933508306
22,50.31866108786607
23,50.08229342327154
