start time,value
0,50.90376202974631
1,49.571226831421015
2,48.57773212818415
3,49.54851138353766
4,50.703669724770585
5,51.5785286569717
6,50.944267782426735
7,50.38547387068203
8,49.54085213032583
9,50.670754716981136
10,49.328522630230566
11,50.902905569007316
12,50.36663900414944
13,49.96032285471539
14,50.07698887938403
15,50.42241537053984
16,49.57806563039725
17,48.93435852372583
18,50.54536170212763
19,50.56050156739806
20,50.76967854039969
21,49.73534338358453
22,49.958877721943054
23,50.72790102389077
