start time,value
0,50.341201000834005
1,50.80276338514685
2,49.81963028169014
3,49.204163126593045
4,48.28020833333336
5,47.99493355481728
6,49.54537815126051
7,49.391855583543254
8,50.209957081545056
9,49.32941176470584
10,49.0633875106929
11,50.21310160427801
12,50.17317487266552
13,49.86464226289522
14,48.7313182199832
15,50.52888700084967
16,50.86133108677338
17,49.174534686971256
18,51.81385542168673
19,49.22096505823626
20,50.231277533039645
21,47.538741134751774
22,50.28748997594228
23,50.789140271493274
